State,Description,Temperature,Feels_Like_Temperature,Min_Temperature,Max_Temperature,Humidity,Clouds
Bhopal,scattered clouds,84.43,81.5,84.43,84.43,17,38
Delhi,haze,86.09,89.22,86.09,87.31,54,84
Chandigarh,clear sky,78.19,77.36,78.19,78.19,35,6
Goa,overcast clouds,76.28,77.47,76.28,76.28,82,98
Mumbai,smoke,96.78,93.27,96.78,96.78,19,1
Jaipur,haze,88.92,86.52,88.92,88.92,29,52
Gandhinagar,smoke,96.78,95.43,96.78,96.78,26,11
Pune,few clouds,85.95,82.65,85.95,85.95,17,21
Hyderabad,few clouds,79.21,79.21,79.21,89.11,31,24
Surat,clear sky,87.78,86.45,87.78,87.78,35,1
